Date(UTC),Symbol,Side,Price,Quantity,Amount,Fee,Realized Profit,Leverage,Margin Mode
2026-08-27 10:45:53,DOGEUSDT,BUY,0.163572,11000.846722DOGE,1799.4310USDT,0.719772USDT,0.0000USDT,10x,Cross
2026-08-27 09:11:22,DOGEUSDT,SELL,0.177678,16958.796563DOGE,3013.2019USDT,1.205281USDT,-30.3753USDT,20x,Cross
2026-08-27 07:55:20,DOGEUSDT,BUY,0.165884,9669.995869DOGE,1604.1010USDT,0.641640USDT,0.0000USDT,10x,Cross
2026-08-27 05:33:13,DOGEUSDT,BUY,0.169577,12418.587577DOGE,2105.9023USDT,0.842361USDT,0.0000USDT,10x,Cross
2026-08-27 02:38:23,DOGEUSDT,BUY,0.179469,16958.796563DOGE,3043.5772USDT,1.217431USDT,0.0000USDT,20x,Cross
2026-08-27 00:42:49,ETHUSDT,BUY,3593.36398,0.588941ETH,2116.2787USDT,0.846511USDT,0.0000USDT,10x,Cross
2026-08-26 17:00:17,ETHUSDT,SELL,3555.612376,1.321616ETH,4699.1543USDT,1.879662USDT,-161.1768USDT,5x,Cross
2026-08-26 02:11:43,ETHUSDT,BUY,3656.297101,0.644603ETH,2356.8607USDT,0.942744USDT,0.0000USDT,5x,Cross
2026-08-25 23:34:55,ETHUSDT,BUY,3697.818075,0.677013ETH,2503.4704USDT,1.001388USDT,0.0000USDT,5x,Cross
2026-08-25 06:57:59,BTCUSDT,BUY,78963.467549,0.029756BTC,2349.6489USDT,0.939860USDT,0.0000USDT,10x,Cross
2026-08-24 16:13:23,BTCUSDT,BUY,80146.991741,0.038115BTC,3054.8161USDT,1.221926USDT,0.0000USDT,10x,Cross
2026-08-23 10:59:05,DOGEUSDT,BUY,0.175445,9715.481087DOGE,1704.5308USDT,0.681812USDT,-6.6339USDT,20x,Cross
2026-08-22 03:25:28,DOGEUSDT,SELL,0.174762,9715.481087DOGE,1697.8968USDT,0.679159USDT,0.0000USDT,20x,Cross
2026-08-19 17:41:01,BTCUSDT,BUY,76151.081212,0.036487BTC,2778.4878USDT,1.111395USDT,83.9453USDT,5x,Cross
2026-08-19 16:20:14,ETHUSDT,SELL,3851.876768,0.782024ETH,3012.2591USDT,1.204904USDT,78.5192USDT,5x,Cross
2026-08-19 13:07:10,ETHUSDT,BUY,3751.47161,0.782024ETH,2933.7399USDT,1.173496USDT,0.0000USDT,5x,Cross
2026-08-19 11:28:42,BTCUSDT,SELL,78451.802419,0.036487BTC,2862.4331USDT,1.144973USDT,0.0000USDT,5x,Cross
2026-08-18 21:44:41,BTCUSDT,SELL,80855.151739,0.024976BTC,2019.4495USDT,0.807780USDT,32.2920USDT,3x,Cross
2026-08-18 20:10:02,BTCUSDT,BUY,79562.237152,0.024976BTC,1987.1575USDT,0.794863USDT,0.0000USDT,3x,Cross
2026-08-18 11:59:11,DOGEUSDT,SELL,0.15799,18546.394245DOGE,2930.1413USDT,1.172057USDT,-126.4880USDT,25x,Cross
2026-08-18 00:39:13,DOGEUSDT,BUY,0.16481,18546.394245DOGE,3056.6294USDT,1.222652USDT,0.0000USDT,25x,Cross
2026-08-17 18:54:18,BTCUSDT,BUY,77629.687182,0.037062BTC,2877.0962USDT,1.150838USDT,79.0034USDT,5x,Cross
2026-08-17 09:19:48,BTCUSDT,SELL,79761.35354,0.037062BTC,2956.0996USDT,1.182440USDT,0.0000USDT,5x,Cross
2026-08-15 09:43:33,BTCUSDT,SELL,80471.208926,0.031993BTC,2574.4843USDT,1.029794USDT,26.9984USDT,3x,Cross
2026-08-15 08:17:30,ETHUSDT,SELL,3588.179515,0.568998ETH,2041.6670USDT,0.816667USDT,-32.9354USDT,10x,Cross
2026-08-15 07:34:09,BTCUSDT,BUY,79627.313766,0.031993BTC,2547.4859USDT,1.018994USDT,0.0000USDT,3x,Cross
2026-08-14 22:07:01,ETHUSDT,BUY,3646.062632,0.568998ETH,2074.6024USDT,0.829841USDT,0.0000USDT,10x,Cross
2026-08-14 02:26:57,DOGEUSDT,SELL,0.168082,40834.981461DOGE,6863.6402USDT,2.745456USDT,-649.8642USDT,10x,Cross
2026-08-13 23:56:22,DOGEUSDT,BUY,0.181167,12093.977292DOGE,2191.0279USDT,0.876411USDT,0.0000USDT,10x,Cross
2026-08-13 23:15:55,DOGEUSDT,BUY,0.183686,15227.566329DOGE,2797.0871USDT,1.118835USDT,0.0000USDT,10x,Cross
2026-08-13 22:42:13,DOGEUSDT,BUY,0.18688,13513.43784DOGE,2525.3895USDT,1.010156USDT,0.0000USDT,10x,Cross
2026-08-12 17:13:42,ETHUSDT,BUY,3603.998676,0.559835ETH,2017.6451USDT,0.807058USDT,69.7660USDT,10x,Cross
2026-08-12 14:50:56,ETHUSDT,SELL,3728.617544,0.559835ETH,2087.4111USDT,0.834964USDT,0.0000USDT,10x,Cross
2026-08-12 04:43:16,BTCUSDT,SELL,81819.474618,0.026558BTC,2172.9332USDT,0.869173USDT,-30.8554USDT,3x,Cross
2026-08-11 20:20:46,BTCUSDT,SELL,84487.264116,0.023933BTC,2022.0392USDT,0.808816USDT,36.0002USDT,5x,Cross
2026-08-11 18:18:30,BTCUSDT,BUY,82983.06194,0.023933BTC,1986.0390USDT,0.794416USDT,0.0000USDT,5x,Cross
2026-08-11 09:15:30,BTCUSDT,BUY,82981.303356,0.026558BTC,2203.7886USDT,0.881515USDT,0.0000USDT,3x,Cross
2026-08-11 03:24:50,SOLUSDT,BUY,187.050107,17.651213SOL,3301.6612USDT,1.320664USDT,-63.5932USDT,10x,Cross
2026-08-10 03:16:00,SOLUSDT,SELL,183.447342,17.651213SOL,3238.0681USDT,1.295227USDT,0.0000USDT,10x,Cross
2026-08-09 00:33:17,DOGEUSDT,BUY,0.178001,14413.280497DOGE,2565.5836USDT,1.026233USDT,4.5950USDT,10x,Cross
2026-08-08 21:12:36,DOGEUSDT,SELL,0.17832,14413.280497DOGE,2570.1786USDT,1.028071USDT,0.0000USDT,10x,Cross
2026-08-06 20:05:08,DOGEUSDT,SELL,0.158656,52421.109763DOGE,8316.9401USDT,3.326776USDT,-633.2265USDT,20x,Cross
2026-08-06 12:07:35,DOGEUSDT,BUY,0.16723,10090.092229DOGE,1687.3612USDT,0.674944USDT,0.0000USDT,20x,Cross
2026-08-06 11:37:07,SOLUSDT,SELL,181.440711,33.887874SOL,6148.6400USDT,2.459456USDT,-51.0554USDT,10x,Cross
2026-08-06 09:12:09,DOGEUSDT,BUY,0.169228,12938.10292DOGE,2189.4860USDT,0.875794USDT,0.0000USDT,20x,Cross
2026-08-06 06:16:44,DOGEUSDT,BUY,0.170505,14102.015346DOGE,2404.4694USDT,0.961788USDT,0.0000USDT,20x,Cross
2026-08-06 03:50:32,DOGEUSDT,BUY,0.174538,15290.899268DOGE,2668.8500USDT,1.067540USDT,0.0000USDT,20x,Cross
2026-08-05 00:17:37,SOLUSDT,BUY,181.230665,17.914719SOL,3246.6964USDT,1.298679USDT,0.0000USDT,10x,Cross
2026-08-04 18:03:35,SOLUSDT,BUY,184.872616,15.973155SOL,2952.9990USDT,1.181200USDT,0.0000USDT,10x,Cross
2026-08-04 09:57:50,ETHUSDT,BUY,3892.835458,1.137444ETH,4427.8834USDT,1.771153USDT,-79.8396USDT,3x,Cross
2026-08-04 07:48:05,ETHUSDT,SELL,3866.369511,0.557165ETH,2154.2046USDT,0.861682USDT,0.0000USDT,3x,Cross
2026-08-04 07:25:11,ETHUSDT,SELL,3780.659054,0.58028ETH,2193.8393USDT,0.877536USDT,0.0000USDT,3x,Cross
2026-08-02 03:13:00,ETHUSDT,BUY,3196.812404,0.881589ETH,2818.2758USDT,1.127310USDT,121.2387USDT,3x,Cross
2026-08-01 22:52:34,ETHUSDT,SELL,3334.335304,0.881589ETH,2939.5145USDT,1.175806USDT,0.0000USDT,3x,Cross
2026-08-01 12:38:14,BTCUSDT,SELL,79217.385028,0.025523BTC,2021.8579USDT,0.808743USDT,31.2088USDT,5x,Cross
2026-08-01 11:09:08,BTCUSDT,SELL,81628.15944,0.037131BTC,3030.9171USDT,1.212367USDT,5.1249USDT,5x,Cross
2026-08-01 09:43:18,BTCUSDT,BUY,77994.608966,0.025523BTC,1990.6491USDT,0.796260USDT,0.0000USDT,5x,Cross
2026-08-01 07:19:13,BTCUSDT,BUY,81490.136558,0.037131BTC,3025.7922USDT,1.210317USDT,0.0000USDT,5x,Cross
2026-07-31 19:45:18,SOLUSDT,SELL,175.186501,11.549SOL,2023.2289USDT,0.809292USDT,-72.2962USDT,10x,Cross
2026-07-31 10:09:23,SOLUSDT,BUY,181.446453,11.549SOL,2095.5251USDT,0.838210USDT,0.0000USDT,10x,Cross
2026-07-31 09:12:32,SOLUSDT,SELL,173.074703,11.784452SOL,2039.5905USDT,0.815836USDT,-13.9943USDT,5x,Cross
2026-07-31 08:47:08,BTCUSDT,SELL,85069.93578,0.034848BTC,2964.5539USDT,1.185822USDT,5.4541USDT,3x,Cross
2026-07-31 06:03:08,BTCUSDT,BUY,84913.426917,0.034848BTC,2959.0998USDT,1.183640USDT,0.0000USDT,3x,Cross
2026-07-31 05:12:45,DOGEUSDT,BUY,0.173476,11423.610016DOGE,1981.7192USDT,0.792688USDT,-3.5041USDT,10x,Cross
2026-07-30 23:44:54,DOGEUSDT,SELL,0.164336,18063.20123DOGE,2968.4258USDT,1.187370USDT,-129.3323USDT,20x,Cross
2026-07-30 22:15:06,DOGEUSDT,SELL,0.164409,26037.759806DOGE,4280.8352USDT,1.712334USDT,-190.2467USDT,20x,Cross
2026-07-30 16:53:35,BTCUSDT,BUY,78599.996922,0.037303BTC,2932.0409USDT,1.172816USDT,29.1455USDT,5x,Cross
2026-07-30 15:09:21,SOLUSDT,BUY,174.262222,11.784452SOL,2053.5847USDT,0.821434USDT,0.0000USDT,5x,Cross
2026-07-30 15:05:18,BTCUSDT,SELL,79381.307731,0.037303BTC,2961.1864USDT,1.184475USDT,0.0000USDT,5x,Cross
2026-07-30 09:06:44,DOGEUSDT,BUY,0.166433,6972.024843DOGE,1160.3775USDT,0.464151USDT,0.0000USDT,20x,Cross
2026-07-30 05:44:21,DOGEUSDT,SELL,0.173169,11423.610016DOGE,1978.2151USDT,0.791286USDT,0.0000USDT,10x,Cross
2026-07-30 05:34:56,DOGEUSDT,BUY,0.171962,7680.947318DOGE,1320.8314USDT,0.528333USDT,0.0000USDT,20x,Cross
2026-07-30 02:38:26,DOGEUSDT,BUY,0.174783,11384.787645DOGE,1989.8729USDT,0.795949USDT,0.0000USDT,20x,Cross
2026-07-28 21:57:02,SOLUSDT,BUY,171.66826,13.858294SOL,2379.0292USDT,0.951612USDT,-74.5797USDT,10x,Cross
2026-07-28 00:51:19,DOGEUSDT,BUY,0.179969,13689.551974DOGE,2463.6940USDT,0.985478USDT,19.1616USDT,3x,Cross
2026-07-28 00:25:20,ETHUSDT,SELL,3807.761505,0.485314ETH,1847.9583USDT,0.739183USDT,43.0063USDT,3x,Cross
2026-07-27 22:44:51,ETHUSDT,BUY,3719.146044,0.485314ETH,1804.9520USDT,0.721981USDT,0.0000USDT,3x,Cross
2026-07-27 22:28:19,DOGEUSDT,SELL,0.181369,13689.551974DOGE,2482.8557USDT,0.993142USDT,0.0000USDT,3x,Cross
2026-07-27 02:55:57,DOGEUSDT,BUY,0.171496,18063.20123DOGE,3097.7582USDT,1.239103USDT,0.0000USDT,20x,Cross
2026-07-27 02:36:22,DOGEUSDT,BUY,0.177317,12791.88868DOGE,2268.2184USDT,0.907287USDT,-95.3260USDT,5x,Cross
2026-07-27 01:27:10,SOLUSDT,SELL,166.286664,13.858294SOL,2304.4495USDT,0.921780USDT,0.0000USDT,10x,Cross
2026-07-26 20:53:34,ETHUSDT,BUY,3344.752852,0.694722ETH,2323.6735USDT,0.929469USDT,40.5840USDT,5x,Cross
2026-07-26 16:28:12,ETHUSDT,SELL,3403.170468,0.694722ETH,2364.2575USDT,0.945703USDT,0.0000USDT,5x,Cross
2026-07-26 12:12:53,BTCUSDT,BUY,75391.128884,0.033894BTC,2555.3144USDT,1.022126USDT,67.1869USDT,5x,Cross
2026-07-26 09:44:18,BTCUSDT,SELL,77373.387676,0.033894BTC,2622.5013USDT,1.049001USDT,0.0000USDT,5x,Cross
2026-07-26 07:28:27,DOGEUSDT,SELL,0.169865,12791.88868DOGE,2172.8924USDT,0.869157USDT,0.0000USDT,5x,Cross
2026-07-25 13:46:37,SOLUSDT,BUY,165.154599,15.869875SOL,2620.9828USDT,1.048393USDT,31.2398USDT,5x,Cross
2026-07-25 12:56:26,SOLUSDT,SELL,167.123097,15.869875SOL,2652.2226USDT,1.060889USDT,0.0000USDT,5x,Cross
2026-07-25 06:33:46,DOGEUSDT,SELL,0.172684,16766.839344DOGE,2895.3730USDT,1.158149USDT,-189.0390USDT,25x,Cross
2026-07-25 05:13:24,DOGEUSDT,SELL,0.14377,62364.091989DOGE,8966.0870USDT,3.586435USDT,-613.6809USDT,25x,Cross
2026-07-25 00:36:48,DOGEUSDT,BUY,0.183959,16766.839344DOGE,3084.4121USDT,1.233765USDT,0.0000USDT,25x,Cross
2026-07-24 22:52:50,BTCUSDT,BUY,76922.211195,0.041067BTC,3158.9306USDT,1.263572USDT,105.9739USDT,3x,Cross
2026-07-24 20:23:19,BTCUSDT,SELL,79502.751304,0.041067BTC,3264.9045USDT,1.305962USDT,0.0000USDT,3x,Cross
2026-07-24 12:36:23,BTCUSDT,SELL,83277.949026,0.038564BTC,3211.5462USDT,1.284618USDT,24.4040USDT,10x,Cross
2026-07-24 10:06:38,DOGEUSDT,BUY,0.149944,23651.690095DOGE,3546.4285USDT,1.418571USDT,0.0000USDT,25x,Cross
2026-07-24 09:55:54,BTCUSDT,BUY,82645.134009,0.038564BTC,3187.1422USDT,1.274857USDT,0.0000USDT,10x,Cross
2026-07-24 06:20:15,DOGEUSDT,SELL,0.166531,39184.364962DOGE,6525.4090USDT,2.610164USDT,-177.0317USDT,20x,Cross
2026-07-24 04:58:32,DOGEUSDT,BUY,0.154169,17340.732798DOGE,2673.3988USDT,1.069360USDT,0.0000USDT,25x,Cross
2026-07-24 02:23:52,DOGEUSDT,BUY,0.168188,15046.177012DOGE,2530.5817USDT,1.012233USDT,0.0000USDT,20x,Cross
2026-07-24 01:20:22,DOGEUSDT,BUY,0.171404,11055.69855DOGE,1894.9903USDT,0.757996USDT,0.0000USDT,20x,Cross
2026-07-24 00:41:48,DOGEUSDT,BUY,0.157215,21371.669096DOGE,3359.9406USDT,1.343976USDT,0.0000USDT,25x,Cross
2026-07-24 00:27:27,DOGEUSDT,BUY,0.174039,13082.4894DOGE,2276.8687USDT,0.910747USDT,0.0000USDT,20x,Cross
2026-07-23 18:54:18,SOLUSDT,SELL,162.337215,18.498606SOL,3003.0122USDT,1.201205USDT,-139.3099USDT,20x,Cross
2026-07-23 09:33:54,SOLUSDT,BUY,173.978862,19.149999SOL,3331.6950USDT,1.332678USDT,9.7897USDT,10x,Cross
2026-07-23 07:37:13,SOLUSDT,SELL,174.490075,19.149999SOL,3341.4847USDT,1.336594USDT,0.0000USDT,10x,Cross
2026-07-22 18:04:08,BTCUSDT,BUY,78892.804898,0.036007BTC,2840.7055USDT,1.136282USDT,-58.6655USDT,5x,Cross
2026-07-22 16:56:31,BTCUSDT,SELL,77263.532507,0.036007BTC,2782.0400USDT,1.112816USDT,0.0000USDT,5x,Cross
2026-07-22 04:40:08,DOGEUSDT,BUY,0.184109,38417.391927DOGE,7072.9941USDT,2.829198USDT,-291.5455USDT,3x,Cross
2026-07-22 02:44:17,SOLUSDT,BUY,169.868048,18.498606SOL,3142.3221USDT,1.256929USDT,0.0000USDT,20x,Cross
2026-07-21 03:34:13,DOGEUSDT,SELL,0.179235,9465.955093DOGE,1696.6321USDT,0.678653USDT,0.0000USDT,3x,Cross
2026-07-20 20:49:38,DOGEUSDT,SELL,0.176781,14759.705111DOGE,2609.2386USDT,1.043695USDT,0.0000USDT,3x,Cross
2026-07-20 15:12:29,DOGEUSDT,SELL,0.174438,14191.731723DOGE,2475.5779USDT,0.990231USDT,0.0000USDT,3x,Cross
2026-07-18 18:53:24,BTCUSDT,SELL,79884.44889,0.062006BTC,4953.3475USDT,1.981339USDT,-54.4486USDT,10x,Cross
2026-07-18 02:40:18,DOGEUSDT,BUY,0.165315,19337.234527DOGE,3196.7308USDT,1.278692USDT,1.6899USDT,20x,Cross
2026-07-18 00:30:48,DOGEUSDT,SELL,0.165402,19337.234527DOGE,3198.4206USDT,1.279368USDT,0.0000USDT,20x,Cross
2026-07-17 09:38:27,BTCUSDT,BUY,78574.73543,0.015938BTC,1252.2903USDT,0.500916USDT,0.0000USDT,10x,Cross
2026-07-17 05:33:07,SOLUSDT,BUY,190.322346,60.603946SOL,11534.2853USDT,4.613714USDT,-672.9413USDT,25x,Cross
2026-07-17 00:42:30,BTCUSDT,BUY,80901.892175,0.019617BTC,1587.0766USDT,0.634831USDT,0.0000USDT,10x,Cross
2026-07-16 17:55:13,SOLUSDT,SELL,184.076636,16.232161SOL,2987.9617USDT,1.195185USDT,0.0000USDT,25x,Cross
2026-07-16 17:15:52,BTCUSDT,BUY,81977.437027,0.026452BTC,2168.4292USDT,0.867372USDT,0.0000USDT,10x,Cross
2026-07-16 13:38:50,SOLUSDT,SELL,179.692681,11.827389SOL,2125.2953USDT,0.850118USDT,0.0000USDT,25x,Cross
2026-07-16 09:22:28,SOLUSDT,SELL,178.149742,15.734351SOL,2803.0706USDT,1.121228USDT,0.0000USDT,25x,Cross
2026-07-16 09:00:32,DOGEUSDT,SELL,0.159545,13573.144309DOGE,2165.5283USDT,0.866211USDT,-211.0754USDT,25x,Cross
2026-07-16 05:48:49,SOLUSDT,SELL,175.193846,16.810044SOL,2945.0163USDT,1.178007USDT,0.0000USDT,25x,Cross
2026-07-16 01:24:17,DOGEUSDT,BUY,0.175096,13573.144309DOGE,2376.6037USDT,0.950641USDT,0.0000USDT,25x,Cross
2026-07-14 17:16:23,ETHUSDT,SELL,3886.754149,0.614917ETH,2390.0323USDT,0.956013USDT,19.6729USDT,10x,Cross
2026-07-14 15:44:03,ETHUSDT,BUY,3854.761374,0.614917ETH,2370.3594USDT,0.948144USDT,0.0000USDT,10x,Cross
2026-07-11 21:52:09,DOGEUSDT,BUY,0.187428,62371.099519DOGE,11690.0705USDT,4.676028USDT,-771.8243USDT,20x,Cross
2026-07-11 12:04:38,DOGEUSDT,SELL,0.180295,18005.61926DOGE,3246.3252USDT,1.298530USDT,0.0000USDT,20x,Cross
2026-07-11 09:19:34,DOGEUSDT,SELL,0.162663,68542.641078DOGE,11149.3725USDT,4.459749USDT,-421.5537USDT,20x,Cross
2026-07-11 08:28:49,DOGEUSDT,SELL,0.177219,15332.527413DOGE,2717.2134USDT,1.086885USDT,0.0000USDT,20x,Cross
2026-07-11 06:55:39,DOGEUSDT,BUY,0.165559,16248.229784DOGE,2690.0398USDT,1.076016USDT,0.0000USDT,20x,Cross
2026-07-11 06:02:47,DOGEUSDT,BUY,0.166562,15150.71585DOGE,2523.5307USDT,1.009412USDT,0.0000USDT,20x,Cross
2026-07-11 05:09:55,DOGEUSDT,BUY,0.170149,17791.486718DOGE,3027.2122USDT,1.210885USDT,0.0000USDT,20x,Cross
2026-07-11 04:53:00,DOGEUSDT,SELL,0.172432,13270.669739DOGE,2288.2938USDT,0.915318USDT,0.0000USDT,20x,Cross
2026-07-11 04:25:52,DOGEUSDT,BUY,0.172081,19352.208726DOGE,3330.1435USDT,1.332057USDT,0.0000USDT,20x,Cross
2026-07-11 01:53:08,DOGEUSDT,SELL,0.169164,15762.283107DOGE,2666.4137USDT,1.066565USDT,0.0000USDT,20x,Cross
2026-07-07 18:54:19,DOGEUSDT,SELL,0.148938,22373.017868DOGE,3332.2021USDT,1.332881USDT,-250.3756USDT,25x,Cross
2026-07-07 16:14:04,DOGEUSDT,SELL,0.154379,10714.420435DOGE,1654.0791USDT,0.661632USDT,-79.2312USDT,25x,Cross
2026-07-07 04:50:25,DOGEUSDT,BUY,0.158178,8670.656385DOGE,1371.5078USDT,0.548603USDT,0.0000USDT,25x,Cross
2026-07-07 03:02:30,DOGEUSDT,BUY,0.161774,10714.420435DOGE,1733.3104USDT,0.693324USDT,0.0000USDT,25x,Cross
2026-07-07 02:21:29,DOGEUSDT,BUY,0.161364,13702.361483DOGE,2211.0699USDT,0.884428USDT,0.0000USDT,25x,Cross
2026-07-05 04:56:23,BTCUSDT,BUY,74300.658178,0.036351BTC,2700.9345USDT,1.080374USDT,30.2867USDT,3x,Cross
2026-07-04 23:10:37,BTCUSDT,SELL,76689.652247,0.026584BTC,2038.6848USDT,0.815474USDT,51.1136USDT,10x,Cross
2026-07-04 22:39:11,BTCUSDT,SELL,86513.631417,0.032099BTC,2776.9645USDT,1.110786USDT,63.8383USDT,5x,Cross
2026-07-04 22:04:32,BTCUSDT,BUY,74766.89996,0.026584BTC,1987.5711USDT,0.795028USDT,0.0000USDT,10x,Cross
2026-07-04 21:15:17,BTCUSDT,SELL,75133.821132,0.036351BTC,2731.2211USDT,1.092488USDT,0.0000USDT,3x,Cross
2026-07-04 21:02:25,BTCUSDT,BUY,84524.809673,0.032099BTC,2713.1261USDT,1.085250USDT,0.0000USDT,5x,Cross
2026-07-04 18:04:40,ETHUSDT,SELL,3768.51593,0.491791ETH,1853.3213USDT,0.741329USDT,20.6134USDT,5x,Cross
2026-07-04 15:42:34,ETHUSDT,BUY,3726.600975,0.491791ETH,1832.7079USDT,0.733083USDT,0.0000USDT,5x,Cross
2026-07-03 22:40:19,ETHUSDT,BUY,3442.798198,0.692754ETH,2385.0121USDT,0.954005USDT,97.4902USDT,5x,Cross
2026-07-03 19:24:23,ETHUSDT,BUY,3583.36369,0.617506ETH,2212.7483USDT,0.885099USDT,22.7654USDT,3x,Cross
2026-07-03 18:51:16,ETHUSDT,SELL,3583.526646,0.692754ETH,2482.5023USDT,0.993001USDT,0.0000USDT,5x,Cross
2026-07-03 15:02:32,ETHUSDT,SELL,3620.230333,0.617506ETH,2235.5136USDT,0.894205USDT,0.0000USDT,3x,Cross
2026-07-03 01:04:21,BTCUSDT,BUY,74494.161475,0.023882BTC,1779.0599USDT,0.711624USDT,33.2379USDT,10x,Cross
2026-07-02 23:31:28,BTCUSDT,SELL,75885.923535,0.023882BTC,1812.2978USDT,0.724919USDT,0.0000USDT,10x,Cross
2026-07-02 17:04:32,ETHUSDT,SELL,3754.45836,0.543884ETH,2041.9897USDT,0.816796USDT,-30.0065USDT,10x,Cross
2026-06-30 16:13:20,ETHUSDT,BUY,3809.629216,0.543884ETH,2071.9962USDT,0.828798USDT,0.0000USDT,10x,Cross
2026-06-27 15:07:28,DOGEUSDT,SELL,0.173286,36598.184487DOGE,6341.9432USDT,2.536777USDT,-183.8519USDT,5x,Cross
2026-06-26 23:46:10,BTCUSDT,BUY,74267.362362,0.026492BTC,1967.4594USDT,0.786984USDT,92.6403USDT,5x,Cross
2026-06-26 19:40:11,BTCUSDT,SELL,77764.333144,0.026492BTC,2060.0997USDT,0.824040USDT,0.0000USDT,5x,Cross
2026-06-26 19:08:06,DOGEUSDT,BUY,0.177089,18741.060899DOGE,3318.8275USDT,1.327531USDT,0.0000USDT,5x,Cross
2026-06-26 15:36:27,DOGEUSDT,BUY,0.17959,17857.123588DOGE,3206.9675USDT,1.282787USDT,0.0000USDT,5x,Cross
2026-06-25 14:57:48,ETHUSDT,SELL,3428.062204,0.671138ETH,2300.7013USDT,0.920281USDT,27.1618USDT,5x,Cross
2026-06-25 12:13:39,ETHUSDT,BUY,3387.590852,0.671138ETH,2273.5394USDT,0.909416USDT,0.0000USDT,5x,Cross
2026-06-25 00:44:55,BTCUSDT,BUY,82083.72859,0.033473BTC,2747.5599USDT,1.099024USDT,-67.8207USDT,3x,Cross
2026-06-24 09:33:00,BTCUSDT,SELL,80057.576164,0.033473BTC,2679.7392USDT,1.071896USDT,0.0000USDT,3x,Cross
2026-06-23 14:34:48,SOLUSDT,SELL,170.397942,9.987236SOL,1701.8045USDT,0.680722USDT,9.5486USDT,5x,Cross
2026-06-23 14:28:10,SOLUSDT,BUY,172.002893,15.756023SOL,2710.0816USDT,1.084033USDT,40.2810USDT,5x,Cross
